,Season,Number of Drivers
0,1950,81
1,1951,84
2,1952,105
3,1953,108
4,1954,97
5,1955,84
6,1956,85
7,1957,76
8,1958,87
9,1959,88
10,1960,91
11,1961,62
12,1962,61
13,1963,62
14,1964,41
15,1965,54
16,1966,33
17,1967,45
18,1968,43
19,1969,31
20,1970,43
21,1971,50
22,1972,42
23,1973,43
24,1974,62
25,1975,52
26,1976,54
27,1977,61
28,1978,46
29,1979,36
30,1980,41
31,1981,39
32,1982,40
33,1983,35
34,1984,35
35,1985,36
36,1986,32
37,1987,32
38,1988,36
39,1989,47
40,1990,40
41,1991,41
42,1992,37
43,1993,35
44,1994,46
45,1995,35
46,1996,24
47,1997,28
48,1998,23
49,1999,24
50,2000,23
51,2001,26
52,2002,23
53,2003,24
54,2004,25
55,2005,27
56,2006,27
57,2007,26
58,2008,22
59,2009,25
60,2010,27
61,2011,28
62,2012,25
63,2013,23
64,2014,24
65,2015,22
66,2016,24
67,2017,25
68,2018,20
69,2019,20
70,2020,23
71,2021,21
72,2022,21
